niche_a,niche_b,channel_name,shared_customers_count,overlap_percentage
España,Bolivia,Point of Sale,1,100.00
NASA,Liverpool,Other Channels,1,100.00
España,Italia,Point of Sale,1,100.00
España,Apparel,Point of Sale,1,100.00
España,EDM,Point of Sale,1,100.00
España,PSG,Point of Sale,1,100.00
España,Boca Juniors,Manual Admin,1,100.00
España,Inglaterra,Manual Admin,1,100.00
España,Alemania,Manual Admin,1,100.00
España,Dr. Strange,Manual Admin,1,100.00
España,Portugal,Manual Admin,1,100.00
España,Better Call Saul,Point of Sale,1,100.00
España,Harry Styles,Point of Sale,1,100.00
España,Croacia,Point of Sale,1,100.00
España,Oriente Petrolero,Point of Sale,1,100.00
España,Belgica,Manual Admin,1,100.00
España,Game of Thrones,Manual Admin,1,100.00
España,Uruguay,Manual Admin,1,100.00
España,Chelsea,Manual Admin,1,100.00
España,NBA,Manual Admin,1,100.00
España,Breaking Bad Universe,Point of Sale,1,100.00
España,Liverpool,Point of Sale,1,100.00
España,Barcelona,Point of Sale,1,100.00
España,Formula 1,Point of Sale,1,100.00
España,River Plate,Point of Sale,1,100.00
España,Brasil,Manual Admin,1,100.00
NASA,Other Trends,Other Channels,1,100.00
España,Juventus,Manual Admin,1,100.00
España,Argentina,Manual Admin,1,100.00
España,Élite,Manual Admin,1,100.00
España,Real Madrid,Manual Admin,1,100.00
España,Boca Juniors,Point of Sale,1,100.00
España,Inglaterra,Point of Sale,1,100.00
España,Alemania,Point of Sale,1,100.00
España,Dr. Strange,Point of Sale,1,100.00
España,Portugal,Point of Sale,1,100.00
España,Blackpink,Manual Admin,1,100.00
España,Holanda,Manual Admin,1,100.00
España,Daddy Yankee,Manual Admin,1,100.00
España,Other Trends,Manual Admin,1,100.00
España,Belgica,Point of Sale,1,100.00
España,Game of Thrones,Point of Sale,1,100.00
España,Uruguay,Point of Sale,1,100.00
España,Chelsea,Point of Sale,1,100.00
España,NBA,Point of Sale,1,100.00
España,Tenis,Manual Admin,1,100.00
España,BTS,Manual Admin,1,100.00
España,Manchester United,Manual Admin,1,100.00
España,Bayern Münich,Manual Admin,1,100.00
España,Francia,Manual Admin,1,100.00
España,Brasil,Point of Sale,1,100.00
España,Juventus,Point of Sale,1,100.00
España,Argentina,Point of Sale,1,100.00
España,Élite,Point of Sale,1,100.00
España,Real Madrid,Point of Sale,1,100.00
España,Bolivia,Manual Admin,1,100.00
NASA,Élite,Other Channels,1,100.00
España,Italia,Manual Admin,1,100.00
España,Apparel,Manual Admin,1,100.00
España,EDM,Manual Admin,1,100.00
España,PSG,Manual Admin,1,100.00
España,Blackpink,Point of Sale,1,100.00
España,Holanda,Point of Sale,1,100.00
España,Daddy Yankee,Point of Sale,1,100.00
España,Other Trends,Point of Sale,1,100.00
España,Better Call Saul,Manual Admin,1,100.00
España,Harry Styles,Manual Admin,1,100.00
España,Croacia,Manual Admin,1,100.00
España,Oriente Petrolero,Manual Admin,1,100.00
España,Francia,Point of Sale,1,100.00
España,Tenis,Point of Sale,1,100.00
España,BTS,Point of Sale,1,100.00
España,Manchester United,Point of Sale,1,100.00
España,Bayern Münich,Point of Sale,1,100.00
España,Breaking Bad Universe,Manual Admin,1,100.00
España,Liverpool,Manual Admin,1,100.00
España,Barcelona,Manual Admin,1,100.00
España,Formula 1,Manual Admin,1,100.00
España,River Plate,Manual Admin,1,100.00
Stranger Things,Netflix,Manual Admin,4,66.67
Belgica,BTS,Manual Admin,1,50.00
Belgica,Italia,Manual Admin,1,50.00
Belgica,Bolivia,Online Web,1,50.00
Belgica,Tenis,Online Web,1,50.00
Belgica,Holanda,Manual Admin,1,50.00
Belgica,Blackpink,Manual Admin,1,50.00
Belgica,Real Madrid,Manual Admin,1,50.00
Belgica,Francia,Manual Admin,1,50.00
Belgica,España,Manual Admin,1,50.00
Belgica,Bayern Münich,Manual Admin,1,50.00
Belgica,Other Trends,Manual Admin,1,50.00
Belgica,Dr. Strange,Manual Admin,1,50.00
Belgica,Apparel,Manual Admin,1,50.00
Belgica,Manchester United,Online Web,1,50.00
Breaking Bad Universe,Oriente Petrolero,Online Web,5,50.00
Belgica,Chelsea,Manual Admin,1,50.00
Belgica,Juventus,Manual Admin,1,50.00
Belgica,Brasil,Manual Admin,1,50.00
Belgica,Uruguay,Manual Admin,1,50.00
Belgica,Holanda,Online Web,1,50.00
Belgica,Boca Juniors,Manual Admin,1,50.00
Belgica,River Plate,Manual Admin,1,50.00
Belgica,Game of Thrones,Manual Admin,1,50.00
Belgica,Portugal,Manual Admin,1,50.00
Belgica,Formula 1,Manual Admin,1,50.00
Belgica,Bayern Münich,Online Web,1,50.00
Belgica,EDM,Manual Admin,1,50.00
Belgica,Argentina,Manual Admin,1,50.00
Belgica,NBA,Manual Admin,1,50.00
Belgica,Croacia,Manual Admin,1,50.00
Belgica,Alemania,Manual Admin,1,50.00
Belgica,Liverpool,Manual Admin,1,50.00
Belgica,Breaking Bad Universe,Manual Admin,1,50.00
Belgica,Inglaterra,Manual Admin,1,50.00
Belgica,Bolivia,Manual Admin,1,50.00
Belgica,Tenis,Manual Admin,1,50.00
Belgica,Harry Styles,Manual Admin,1,50.00
Belgica,PSG,Manual Admin,1,50.00
Belgica,Formula 1,Online Web,1,50.00
Belgica,Better Call Saul,Manual Admin,1,50.00
Belgica,Élite,Manual Admin,1,50.00
Belgica,Barcelona,Manual Admin,1,50.00
