customer_key,customer_segment,monetary,frequency,recency_days,top_niche,top_channel,unique_niches_bought,cross_sell_status,service_level
d25a8905b83a6fd389a6519737c7f3d8a5603803db4054af2a83971880276b82,Potential Loyalist,11.00,1,284,Bayern Münich,Other Channels,1,Single-Niche,Low Touch
818df976cea287ed5e8aacd87708d2a8cd3c6cf7bf81b0fb3db6c2d6f0b2bee6,Potential Loyalist,15.00,1,802,Juventus,Online Web,1,Single-Niche,Low Touch
4d798f8ebb34299c447a92d61907469e1c30910724bcbebba0498db46dfa58bd,At Risk,29.00,1,1131,Oriente Petrolero,Online Web,1,Single-Niche,Low Touch
b0cb7f7adbcdd5ce5999f3215fded0ac31a9c4d9a19f8934d352bea44a8eb291,Lost,29.99,1,1025,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
58e79faf34f82116624901dd378879af3d36a3668a43ecb7cc430fcfba2bc7eb,Lost,29.99,1,1021,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
098d036e711bd2f3d75b33b998ce1894ce0e2fd76ec50183045d9521832f7245,Lost,29.99,1,1020,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
bf76c3b68894f6b3dbd151d9b5f4c34f57d2df014ec56b7c88be013fbc687945,Lost,29.99,1,1026,Oriente Petrolero,Online Web,1,Single-Niche,Low Touch
f5654c04b2cd13794bc047d5bd1d38a0bd7667586f1b39835953cff8186447fe,Lost,29.99,1,949,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
6762f1d725167ab173ab37efc37ebd7715b6d88685845acd840f468f3fc9baf6,Lost,29.99,1,1020,Oriente Petrolero,Online Web,1,Single-Niche,Low Touch
f9092410de7c5c40f0797375b8e8482bb1e01683ff040b37bf172c60ef11b366,Lost,29.99,1,1019,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
b42215f6b1e088192ad408db60e23753896ad653182bc2eaaa56384b489efc37,Lost,29.99,1,1026,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
499f5d54c027766b9513afbfd7a6691c8d8d620f7054177ee1f5fd128222b954,Lost,29.99,1,1020,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
0d7eb571d4047fa35410d8c8bd1305a272d9551ac9ba139d83174f8cade31d53,New Customers,29.99,1,398,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
d0ee7c223ea50cd2ce1430d3d1e4260647c0430ce44875fd25e23564cf5f7d9a,At Risk,29.99,1,1026,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
dacafd4377146437edad135034d50fac78ea0241001561f6507592bc303a2120,At Risk,29.99,1,951,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
f1c3ff532d942197c6984ebe370d1354f10726f4a9cb774c34938d64dad62f7e,At Risk,29.99,1,1026,Oriente Petrolero,Online Web,1,Single-Niche,Low Touch
c7d81ce72e03ab65419cf672824b48157061ff3f8d8b92c1d54e11931ca90b1a,At Risk,29.99,1,951,Oriente Petrolero,Online Web,1,Single-Niche,Low Touch
08b6354f6993d03f9e283415fde7d6bab89f14bd95658c3f62004ea057e3cbfa,At Risk,29.99,1,948,Oriente Petrolero,Manual Admin,1,Single-Niche,Low Touch
