customer_key,channel_name,niche_term,orders_count,total_spend
"","Manual Admin","Alemania",2,"288.79"
"","Manual Admin","Apparel",29,"8323.80"
"","Manual Admin","Argentina",17,"4422.64"
"","Manual Admin","Barcelona",20,"7863.74"
"","Manual Admin","Bayern Münich",2,"648.99"
"","Manual Admin","Belgica",1,"115.00"
"","Manual Admin","Better Call Saul",3,"1144.92"
"","Manual Admin","Blackpink",5,"3389.67"
"","Manual Admin","Boca Juniors",12,"6009.71"
"","Manual Admin","Bolivia",5,"1569.91"
"","Manual Admin","Brasil",8,"891.90"
"","Manual Admin","Breaking Bad Universe",1,"389.97"
"","Manual Admin","BTS",2,"254.98"
"","Manual Admin","Chelsea",22,"6582.45"
"","Manual Admin","Croacia",1,"147.00"
"","Manual Admin","Daddy Yankee",10,"10039.55"
"","Manual Admin","Dr. Strange",9,"5187.62"
"","Manual Admin","EDM",2,"649.99"
"","Manual Admin","El Señor de los Anillos",1,"1439.92"
"","Manual Admin","Élite",1,"665.00"
"","Manual Admin","España",1,"79.99"
"","Manual Admin","Formula 1",73,"53856.66"
"","Manual Admin","Francia",3,"319.96"
"","Manual Admin","Game of Thrones",3,"1523.90"
"","Manual Admin","Harry Styles",2,"809.94"
"","Manual Admin","Holanda",3,"1334.92"
"","Manual Admin","Inglaterra",4,"649.96"
"","Manual Admin","Italia",19,"3983.77"
"","Manual Admin","Juventus",14,"7130.57"
"","Manual Admin","Liverpool",8,"3926.86"
"","Manual Admin","Manchester United",14,"7277.72"
"","Manual Admin","NBA",4,"2999.70"
"","Manual Admin","Oriente Petrolero",687,"410389.69"
"","Manual Admin","Other Trends",21,"7915.39"
"","Manual Admin","Portugal",3,"681.97"
"","Manual Admin","PSG",21,"15855.12"
"","Manual Admin","Real Madrid",24,"11101.56"
"","Manual Admin","River Plate",19,"5736.78"
"","Manual Admin","Tenis",27,"8075.82"
"","Manual Admin","Uruguay",1,"149.99"
"","Online Web","Apparel",1,"239.98"
"","Online Web","Argentina",3,"159.97"
"","Online Web","Barcelona",1,"589.95"
"","Online Web","Blackpink",3,"2189.79"
"","Online Web","Boca Juniors",2,"1429.93"
"","Online Web","Bolivia",2,"1379.91"
"","Online Web","Brasil",3,"299.95"
"","Online Web","Breaking Bad Universe",2,"529.96"
"","Online Web","Chelsea",5,"1979.79"
"","Online Web","Daddy Yankee",1,"599.96"
"","Online Web","Dr. Strange",1,"59.99"
"","Online Web","Formula 1",5,"2348.87"
"","Online Web","Game of Thrones",2,"1163.93"
"","Online Web","Italia",1,"59.99"
"","Online Web","Juventus",3,"259.97"
"","Online Web","Liverpool",4,"2014.97"
"","Online Web","Manchester United",6,"2619.86"
"","Online Web","NBA",2,"1799.82"
"","Online Web","Oriente Petrolero",47,"30151.80"
"","Online Web","Other Trends",2,"139.97"
"","Online Web","PSG",3,"1064.98"
"","Online Web","Real Madrid",12,"4858.89"
"","Online Web","River Plate",4,"1188.98"
"","Online Web","Tenis",5,"2576.43"
"","Other Channels","Alemania",5,"951.98"
"","Other Channels","Apparel",1,"69.99"
"","Other Channels","Argentina",14,"3799.87"
"","Other Channels","Barcelona",11,"7324.94"
"","Other Channels","Bayern Münich",1,"155.00"
"","Other Channels","Better Call Saul",1,"405.00"
"","Other Channels","Boca Juniors",10,"3002.85"
"","Other Channels","Bolivia",4,"2959.80"
"","Other Channels","Brasil",3,"279.97"
"","Other Channels","Chelsea",10,"903.91"
"","Other Channels","Croacia",1,"259.98"
"","Other Channels","EDM",1,"1999.90"
"","Other Channels","Formula 1",3,"1253.93"
"","Other Channels","Francia",3,"659.94"
"","Other Channels","Inglaterra",1,"129.99"
"","Other Channels","Italia",5,"2479.90"
"","Other Channels","Juventus",13,"3728.71"
"","Other Channels","Liverpool",9,"1913.88"
"","Other Channels","Manchester United",15,"9795.50"
"","Other Channels","Oriente Petrolero",38,"24265.47"
"","Other Channels","Other Trends",14,"654.96"
"","Other Channels","PSG",25,"20292.70"
"","Other Channels","Real Madrid",17,"4138.72"
"","Other Channels","River Plate",14,"5115.74"
"","Other Channels","Tenis",4,"779.91"
"","Point of Sale","Alemania",10,"1069.12"
"","Point of Sale","Apparel",13,"2783.84"
"","Point of Sale","Argentina",23,"4497.81"
"","Point of Sale","Barcelona",54,"18988.70"
"","Point of Sale","Bayern Münich",2,"179.98"
"","Point of Sale","Better Call Saul",6,"2579.85"
"","Point of Sale","Boca Juniors",39,"16671.52"
"","Point of Sale","Bolivia",15,"6151.48"
"","Point of Sale","Breaking Bad Universe",2,"279.98"
"","Point of Sale","Chelsea",32,"10337.44"
"","Point of Sale","Dr. Strange",1,"749.95"
"","Point of Sale","Élite",6,"3884.95"
"","Point of Sale","España",1,"145.00"
"","Point of Sale","Formula 1",19,"11120.26"
"","Point of Sale","Francia",2,"82.46"
"","Point of Sale","Inglaterra",5,"349.95"
