customer_key,recency_days,frequency,monetary,raw_rfm_score,customer_segment
"",40,1976,"265670.26",8,"Champions"
"0000b801d35ff5a5b40b4121946fe5119b4af7b7b3b441f466c6790a1b2312c1",528,2,"199.96",5,"At Risk / Churned"
"000d44acf201e09940aa4aa29a4f541458bc63df5f407e494a1b0106dce0768f",633,1,"139.99",4,"At Risk / Churned"
"000d4a5679c5df68fe7c426697a57219aeabf341234663a076ab41060ffdea6f",416,4,"384.99",5,"At Risk / Churned"
"000e2b523f5eec85bf287164545d9109cb33c3b549311f4b05e58e598a8daad1",933,1,"149.98",4,"At Risk / Churned"
"0010d57f1bf363f8b687040cd10db31eb8c7fb5ea8cf947001992730cf9bf81a",418,1,"269.98",4,"At Risk / Churned"
"001db30d4e35145e154b6df1a5fa71dff6bcefabd7a492900b35bca452b0e0c6",784,1,"79.98",3,"At Risk / Churned"
"0020b1da6d7d75b18f0825a8ac9dcaa820254522f9109fd06179ab3c8bf15af6",644,1,"227.99",4,"At Risk / Churned"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e",648,1,"159.98",4,"At Risk / Churned"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b",277,1,"99.99",3,"At Risk / Churned"
"00a60db2c54522d8c48a6672be54a58b1fc9360eabcca4ffa42de38f45b7bb32",219,1,"125.00",4,"At Risk / Churned"
"00d0c27216b5a01bb5afb4a326be57ded03d11d855dd83ad8a85c6d03694305a",1008,1,"45.00",3,"At Risk / Churned"
"00f459086ab8c40f2b33393c91409b728d4c9a85a18e3772faf30e0be320c301",311,1,"259.99",4,"At Risk / Churned"
"00f61ad9e3f9ff589e5f21c9792d140703604182f0cf4ee2f1d11ecb166d5fab",506,1,"129.99",4,"At Risk / Churned"
"011106a0178defc718e29ee16131096bef7733c323e5c4eb991c084c498301c7",938,1,"49.99",3,"At Risk / Churned"
"0119e89954a1b735eb4e8b4226c0975affc89906c53e67ca0529e1af393fd6f0",267,3,"704.96",6,"Loyal Customers"
"01678ac91e118eee30b5e814b96beb148421675b451dc99448b8cd2d3e073ea8",285,1,"169.99",4,"At Risk / Churned"
"019575323e95cbfaf079f8894d8849b9a876317a2fe4a0be8a7e80a51a205fbf",928,2,"219.98",5,"At Risk / Churned"
"01bb6c3801be7fb021839e9319b9cc56b1dbbfc1d179df3dc6edffd8ef02a27d",970,1,"49.99",3,"At Risk / Churned"
"01bd6cd53ac8d1e262c83a43995ff1bb0f8acf3b980800b3c31376c0e959ae37",319,2,"204.99",5,"At Risk / Churned"
"01ca120f5623e87c43df399e4aefc7cf50205dfd413b06f5173d14a4fcec6e6a",761,1,"99.98",3,"At Risk / Churned"
"01f47f3ddd6c7d25663b7b521371453a7c23c81801c3a8e805aae605a44c58eb",892,1,"34.00",3,"At Risk / Churned"
"01facc091acfe8eac62c86999162267896684e484608d20d8fbaccdadd5e7327",476,1,"59.99",3,"At Risk / Churned"
"0252e45ab9c098c401329fbbea98cdb098f6fd9f44a4030a718c40facc1dfa2c",728,1,"254.99",4,"At Risk / Churned"
"025ac56073be6a568f4fb97a4a41119a719a5ad5ed2da1ff090fe2ccdb3ee2fa",873,1,"285.00",4,"At Risk / Churned"
"027385062e4a9e4baaa68026491c46713022a5eb890cbcbc82717307b9e25b02",392,1,"59.99",3,"At Risk / Churned"
"029291df1598280735fbaf2a3e1b6bfa2065b01022a3c2644b446e777ef3da2b",336,1,"244.99",4,"At Risk / Churned"
"029b59854e36f8bf0039d30439b215b6c6386a20002ef6d06ec199b2d366ad9f",1047,1,"90.00",3,"At Risk / Churned"
"029e34da17c2577f9611003aed2b388f53e1f050d5aa0385c1bd95c2cbdfac96",696,2,"372.98",5,"At Risk / Churned"
"02a4724f6012d81a6a439149c38aefb3e4cc3fd165618bbb68112efdd6fd5fc7",418,2,"130.00",5,"At Risk / Churned"
"02a7050f4bdd65f3ae73f5cb8dd55fffdd557c5a10a31734fe16496a375a45d7",510,1,"189.99",4,"At Risk / Churned"
"02b246f4b6e03f5f8712e9c9c9cead737bf8e3c9b6a5f9e484efe71683c2e0ac",137,1,"69.99",3,"At Risk / Churned"
"02e418ad0a1a0687d311673cd7e8d98985fdbfd6ed1b15e59c4dcdd6921fcdd5",935,2,"139.97",5,"At Risk / Churned"
