product_id,product_name,niche_term,product_category,channel_name,discount_bracket,total_orders,units_sold,total_revenue,avg_unit_price
1185,,"Other Trends","Uncategorized","Other Channels","Full Price",1,"1.000","399.00","399.0000000000"
4412,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",16,"128.000","10078.72","78.3233333333"
4412,,"Oriente Petrolero","Women","Manual Admin","Full Price",16,"32.000","2519.68","78.3233333333"
4412,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",5,"20.000","2079.80","103.9900000000"
4412,,"Oriente Petrolero","Women","Online Web","Full Price",5,"5.000","519.95","103.9900000000"
4412,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",1,"4.000","239.96","59.9900000000"
4412,,"Oriente Petrolero","Women","Other Channels","Full Price",1,"1.000","59.99","59.9900000000"
4429,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",16,"76.000","7303.28","96.0957894737"
4429,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",2,"8.000","719.92","89.9900000000"
4429,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",2,"8.000","959.92","119.9900000000"
4439,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",21,"100.000","8639.00","87.4900000000"
4439,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",5,"20.000","1679.80","83.9900000000"
4439,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",1,"4.000","479.96","119.9900000000"
4459,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",22,"108.000","8398.92","77.7677777778"
4459,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",4,"16.000","1679.84","104.9900000000"
4459,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",2,"8.000","959.92","119.9900000000"
4481,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",14,"96.000","6639.08","69.1570833333"
4481,,"Oriente Petrolero","Women","Manual Admin","Full Price",14,"24.000","1659.77","69.1570833333"
4481,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",1,"4.000","479.96","119.9900000000"
4481,,"Oriente Petrolero","Women","Other Channels","Full Price",1,"1.000","119.99","119.9900000000"
