product_id,store_code,store_name,product_name,sku,niche_term,product_category,regular_price,sale_price,discount_amount,discount_percentage
8990,"NEB","Nebula","Polera ELITE - Roja","ELTD1CRTL","Élite","Adult","170.00","119.99","50.01","29.42"
9020,"NEB","Nebula","Polera ELITE - Negra","ELTD1CNTXS","Élite","Adult","170.00","119.99","50.01","29.42"
9048,"NEB","Nebula","Polera #narcobarbie - Blanca","ELTD2CBTXS","Élite","Adult","180.00","129.99","50.01","27.78"
9066,"NEB","Nebula","Polera Las Encinas International School - Azul Marino","ELTD3CAZMTXS","Élite","Adult","190.00","137.00","53.00","27.89"
9416,"RBN","Rabbona","Polera Casual Barcelona - Azul con Descuento","BCND1CAZTM","Élite","Women","180.00","89.99","90.01","50.01"
9445,"RBN","Rabbona","Polera Mes Que Un Club - Azul con Descuento","BCND2CAZTM","Élite","Women","190.00","95.00","95.00","50.00"
9445,"RBN","Rabbona","Polera Mes Que Un Club - Azul con Descuento","BCND2CAZTXL","Élite","Women","190.00","95.00","95.00","50.00"
9445,"RBN","Rabbona","Polera Mes Que Un Club - Azul con Descuento","BCND2CAZT3XL","Élite","Women","190.00","95.00","95.00","50.00"
9445,"RBN","Rabbona","Polera Mes Que Un Club - Azul con Descuento","BCND2CAZT2XL","Élite","Women","190.00","95.00","95.00","50.00"
9445,"RBN","Rabbona","Polera Mes Que Un Club - Azul con Descuento","BCND2CAZTL","Élite","Women","190.00","95.00","95.00","50.00"
10075,"VIC","Victus","Polera Scuderia Ferrari 55 - Mujer","F1D9CNTML","Dr. Strange","Adult","200.00","149.99","50.01","25.01"
10075,"VIC","Victus","Polera Scuderia Ferrari 55 - Mujer","F1D9CBTML","Dr. Strange","Adult","200.00","149.99","50.01","25.01"
10075,"VIC","Victus","Polera Scuderia Ferrari 55 - Mujer","F1D9CBTMM","Dr. Strange","Adult","200.00","149.99","50.01","25.01"
10075,"VIC","Victus","Polera Scuderia Ferrari 55 - Mujer","F1D9CNTMM","Dr. Strange","Adult","200.00","149.99","50.01","25.01"
10075,"VIC","Victus","Polera Scuderia Ferrari 55 - Mujer","F1D9CNTMXS","Dr. Strange","Adult","200.00","149.99","50.01","25.01"
10146,"VIC","Victus","Polera SF - Mujer","F1D11CBTMM","Dr. Strange","Women","180.00","127.00","53.00","29.44"
10146,"VIC","Victus","Polera SF - Mujer","F1D11CNTMM","Dr. Strange","Women","180.00","127.00","53.00","29.44"
10219,"NEB","Nebula","Polera Dr Strange Eyes","NBL-DRS-D3-CN-T2XL","Dr. Strange","Adult","180.00","127.00","53.00","29.44"
10243,"NEB","Nebula","Polera Dr Strange Eyes - Mujer","DRSD3CRSTMS","Dr. Strange","Women","180.00","137.00","43.00","23.89"
10267,"VIC","Victus","Gorra Camionera Mono Ferrari - Blanca","F1G1D8CBB","Dr. Strange","Adult","90.00","59.99","30.01","33.34"
