order_id,order_date,store_code,customer_key,channel_name,season_type,sport_event_name,niche_term,product_category,line_total,quantity
7080,2021-12-28T15:47:14.000Z,"VIC","aff9a3d2ca3ef2d52f383d88f629127e0f0ff79d41cb935224f2c68629eb0167","Other Channels","Holiday Season","No Special Event","Other Trends","Uncategorized","399.00","1.000"
8308,2018-12-08T08:44:55.000Z,"PA","fdafbb2d8c54fd4eab47cfdb9b9a7ed0db5f3ca4aa36d9fb6d41d25e060a2e7e","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8310,2018-12-11T01:02:34.000Z,"PA","","Manual Admin","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8313,2018-12-11T02:53:45.000Z,"PA","a7608fd799a16515895b07c3d66b0cc59ee99558282b93dbb435eb855ddd9118","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8314,2018-12-11T02:57:54.000Z,"PA","f2ae3b3286df5b594d4685673745b0b768e188900fb5c09edbf64a12fa1f6cd9","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8326,2018-12-11T03:54:27.000Z,"PA","","Manual Admin","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8330,2018-12-11T04:25:20.000Z,"PA","0f8e1c5803395687a81acab523e4635fca742cb57cc3a54d525f7e80f2c6099c","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8331,2018-12-11T04:26:26.000Z,"PA","0ea37e611210320a5e12b3f4bedb87f49e48611efd4547f6ce096724254f9bbf","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8332,2018-12-11T05:18:07.000Z,"PA","92cc86314347e8b2065ff87fdbdcf46b8294a70981b18857d718a7353f015a27","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8335,2018-12-11T07:43:18.000Z,"PA","","Manual Admin","Holiday Season","No Special Event","Oriente Petrolero","Women","350.97","3.000"
8340,2018-12-11T07:50:31.000Z,"PA","","Manual Admin","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8343,2018-12-11T08:49:05.000Z,"PA","607883982a591ae1595c139509c3ade421fd0466359a736e2890260f8ee0986c","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8345,2018-12-11T09:25:50.000Z,"PA","f114f80abef5c4ad292c85acc9452e0e38da4592ac9042b23e3489913e5bda2c","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8345,2018-12-11T09:25:50.000Z,"PA","f114f80abef5c4ad292c85acc9452e0e38da4592ac9042b23e3489913e5bda2c","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8346,2018-12-11T10:15:46.000Z,"PA","8e5b82340975ea855f33a326713c90f276f00856e7e4e2391a5fad2d81471778","Online Web","Holiday Season","No Special Event","Oriente Petrolero","Women","116.99","1.000"
8348,2018-12-11T20:31:22.000Z,"PA","","Manual Admin","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
8355,2018-12-11T20:44:24.000Z,"PA","","Manual Admin","Holiday Season","No Special Event","Oriente Petrolero","Women","119.99","1.000"
